antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
NO_USER_REENTRY,FAILURE_NO_FAILURE,0.418,0.13775,0.11475,0.2745215311004785,1.9928967774989363,1.0,0.0571705,1.1885259686727123,0.8560444414497375,0.26020408163265313,0.15862166552679444,0.5537761920475169
DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,0.3555,0.23175,0.11175,0.3143459915611815,1.3564012580849254,1.0,0.029362874999999997,1.120463076923077,0.40768818240038307,0.23501577287066244,0.1075118666595268,0.3982733194051862
DEPTH_HIGH & PATTERN_A_T_A & PATTERN_A_T_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,0.3555,0.23175,0.11175,0.3143459915611815,1.3564012580849254,1.0,0.029362874999999997,1.120463076923077,0.40768818240038307,0.23501577287066244,0.1075118666595268,0.3982733194051862
DEPTH_HIGH & PATTERN_A_T_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,0.3555,0.23175,0.11175,0.3143459915611815,1.3564012580849254,1.0,0.029362874999999997,1.120463076923077,0.40768818240038307,0.23501577287066244,0.1075118666595268,0.3982733194051862
MULTI_TOOL_CYCLE & PATTERN_A_T_A & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,0.37625,0.23175,0.1115,0.29634551495016614,1.2787292985983436,1.0,0.0243040625,1.0918000472143532,0.3494567610557438,0.22457200402819738,0.08408137318602817,0.3887337067738964
MULTI_TOOL_CYCLE & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,0.37625,0.23175,0.1115,0.29634551495016614,1.2787292985983436,1.0,0.0243040625,1.0918000472143532,0.3494567610557438,0.22457200402819738,0.08408137318602817,0.3887337067738964
PATTERN_A_T_A & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,0.37625,0.23175,0.1115,0.29634551495016614,1.2787292985983436,1.0,0.0243040625,1.0918000472143532,0.3494567610557438,0.22457200402819738,0.08408137318602817,0.3887337067738964
TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,0.37625,0.23175,0.1115,0.29634551495016614,1.2787292985983436,1.0,0.0243040625,1.0918000472143532,0.3494567610557438,0.22457200402819738,0.08408137318602817,0.3887337067738964
PATTERN_A_T_A & SEQ_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,0.38675,0.23175,0.1095,0.28312863606981253,1.2216985375180691,1.0,0.019870687499999998,1.0716706492335437,0.2959110733851196,0.2151277013752456,0.06687749569777093,0.3778102727274629
SEQ_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,0.38675,0.23175,0.1095,0.28312863606981253,1.2216985375180691,1.0,0.019870687499999998,1.0716706492335437,0.2959110733851196,0.2151277013752456,0.06687749569777093,0.3778102727274629
MULTI_TOOL_CYCLE & PATTERN_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,0.3425,0.23175,0.109,0.3182481751824817,1.3732391593634594,1.0,0.02962562499999999,1.1268763383297644,0.4133760072557295,0.23428264373992475,0.1125911814936306,0.3942912936322333
MULTI_TOOL_CYCLE & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,0.3425,0.23175,0.109,0.3182481751824817,1.3732391593634594,1.0,0.02962562499999999,1.1268763383297644,0.4133760072557295,0.23428264373992475,0.1125911814936306,0.3942912936322333
MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A,FAILURE_PARAMETER_HALLUCINATION,0.52625,0.18625,0.10825,0.20570071258907363,1.1044333561829456,1.0,0.0102359375,1.0244878887559807,0.1995953859372239,0.17914770376499792,0.023902565393638872,0.3934543831401744
MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,FAILURE_PARAMETER_HALLUCINATION,0.52625,0.18625,0.10825,0.20570071258907363,1.1044333561829456,1.0,0.0102359375,1.0244878887559807,0.1995953859372239,0.17914770376499792,0.023902565393638872,0.3934543831401744
PATTERN_A_T_A & PATTERN_A_T_A_T_A,FAILURE_PARAMETER_HALLUCINATION,0.52625,0.18625,0.10825,0.20570071258907363,1.1044333561829456,1.0,0.0102359375,1.0244878887559807,0.1995953859372239,0.17914770376499792,0.023902565393638872,0.3934543831401744
PATTERN_A_T_A_T_A,FAILURE_PARAMETER_HALLUCINATION,0.52625,0.18625,0.10825,0.20570071258907363,1.1044333561829456,1.0,0.0102359375,1.0244878887559807,0.1995953859372239,0.17914770376499792,0.023902565393638872,0.3934543831401744
DEPTH_HIGH & PATTERN_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,0.3345,0.23175,0.10675,0.3191330343796711,1.3770573220266282,1.0,0.029229624999999995,1.128340834248079,0.41144074730309654,0.2323177366702938,0.11374296697646742,0.38987935429878917
DEPTH_HIGH & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,0.335,0.23175,0.10675,0.31865671641791044,1.3750020125907678,1.0,0.029113749999999994,1.1275520262869658,0.41011780035569007,0.2320652173913043,0.11312296312126316,0.3896411953179088
MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A,FAILURE_WRONG_TOOL_SELECTION,0.52625,0.2085,0.106,0.2014251781472684,0.9660680007063233,1.0,-0.003723124999999994,0.9911406900654373,-0.06902265222177151,0.16858846918489065,-0.008938498866369663,0.3549092317594855
MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,FAILURE_WRONG_TOOL_SELECTION,0.52625,0.2085,0.106,0.2014251781472684,0.9660680007063233,1.0,-0.003723124999999994,0.9911406900654373,-0.06902265222177151,0.16858846918489065,-0.008938498866369663,0.3549092317594855
PATTERN_A_T_A & PATTERN_A_T_A_T_A,FAILURE_WRONG_TOOL_SELECTION,0.52625,0.2085,0.106,0.2014251781472684,0.9660680007063233,1.0,-0.003723124999999994,0.9911406900654373,-0.06902265222177151,0.16858846918489065,-0.008938498866369663,0.3549092317594855
PATTERN_A_T_A_T_A,FAILURE_WRONG_TOOL_SELECTION,0.52625,0.2085,0.106,0.2014251781472684,0.9660680007063233,1.0,-0.003723124999999994,0.9911406900654373,-0.06902265222177151,0.16858846918489065,-0.008938498866369663,0.3549092317594855
DEPTH_HIGH & MULTI_TOOL_CYCLE & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,0.32925,0.23175,0.1055,0.3204252088078967,1.3826330477147646,1.0,0.029196312500000002,1.130486312849162,0.4125863564341395,0.23161361141602635,0.11542493824653004,0.3878285698839915
PATTERN_A_T_A & USER_REENTRY,FAILURE_INTENT_MISUNDERSTANDING,0.44875,0.23575,0.1025,0.22841225626740946,0.9688748940293085,1.0,-0.003292812499999992,0.990490072202166,-0.05506749517891567,0.17611683848797252,-0.009601234848008537,0.33159743248153084
PATTERN_A_T_A & USER_REENTRY,FAILURE_WRONG_TOOL_SELECTION,0.44875,0.2085,0.10025,0.22339832869080783,1.071454813864786,1.0,0.0066856250000000145,1.0191840028694406,0.12097873230755336,0.17998204667863557,0.018822904220856404,0.3521068382063152
DEPTH_HIGH & MULTI_TOOL_CYCLE & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,0.311,0.23175,0.09725,0.31270096463022506,1.3493029757507013,1.0,0.025175749999999997,1.1177812865497074,0.3757280213117628,0.21829405162738494,0.10537060153625129,0.36616709504434664
DEPTH_HIGH & PATTERN_A_T_A & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,0.311,0.23175,0.09725,0.31270096463022506,1.3493029757507013,1.0,0.025175749999999997,1.1177812865497074,0.3757280213117628,0.21829405162738494,0.10537060153625129,0.36616709504434664
DEPTH_HIGH & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,0.311,0.23175,0.09725,0.31270096463022506,1.3493029757507013,1.0,0.025175749999999997,1.1177812865497074,0.3757280213117628,0.21829405162738494,0.10537060153625129,0.36616709504434664
MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,0.3225,0.23175,0.095,0.2945736434108527,1.2710836824632261,1.0,0.02026062499999999,1.0890576923076922,0.3147892794717419,0.20685900925421882,0.08177499955854561,0.3522490655026216
PATTERN_A_T_A & PATTERN_A_T_A_T_A & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,0.3225,0.23175,0.095,0.2945736434108527,1.2710836824632261,1.0,0.02026062499999999,1.0890576923076922,0.3147892794717419,0.20685900925421882,0.08177499955854561,0.3522490655026216
PATTERN_A_T_A_T_A & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,0.3225,0.23175,0.095,0.2945736434108527,1.2710836824632261,1.0,0.02026062499999999,1.0890576923076922,0.3147892794717419,0.20685900925421882,0.08177499955854561,0.3522490655026216
PATTERN_A_T_A & USER_REENTRY,FAILURE_PARAMETER_HALLUCINATION,0.44875,0.18625,0.09425,0.21002785515320335,1.1276663363930381,1.0,0.010670312500000001,1.03009961212976,0.20537481128614135,0.17429496070272768,0.02922009849856019,0.3580340618047896
DEPTH_HIGH & PATTERN_A_T_A,FAILURE_PARAMETER_HALLUCINATION,0.41475,0.18625,0.09325,0.22483423749246534,1.2071636912347132,1.0,0.016002812500000005,1.049775466562986,0.2932284157110742,0.18365337272279667,0.047415345612860635,0.3627526892160313
DEPTH_HIGH,FAILURE_PARAMETER_HALLUCINATION,0.41625,0.18625,0.09325,0.22402402402402402,1.2028135518068404,1.0,0.015723437499999993,1.0486793730650155,0.28884959613298034,0.1831124202258223,0.0464196915809819,0.36234758248181065
MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,0.28875,0.23175,0.0925,0.3203463203463203,1.3822926444285666,1.0,0.025582187499999992,1.1303550955414012,0.3888424452572079,0.21612149532710284,0.11532225232192686,0.35974166071253444
PATTERN_A_T_A & PATTERN_A_T_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,0.28875,0.23175,0.0925,0.3203463203463203,1.3822926444285666,1.0,0.025582187499999992,1.1303550955414012,0.3888424452572079,0.21612149532710284,0.11532225232192686,0.35974166071253444
PATTERN_A_T_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,0.28875,0.23175,0.0925,0.3203463203463203,1.3822926444285666,1.0,0.025582187499999992,1.1303550955414012,0.3888424452572079,0.21612149532710284,0.11532225232192686,0.35974166071253444
DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A,FAILURE_PARAMETER_HALLUCINATION,0.409,0.18625,0.09175,0.2243276283618582,1.2044436422113192,1.0,0.015573749999999997,1.0490898345153665,0.2872100582304043,0.18222442899702088,0.04679278446925741,0.35847253901314385
DEPTH_HIGH & MULTI_TOOL_CYCLE,FAILURE_PARAMETER_HALLUCINATION,0.409,0.18625,0.09175,0.2243276283618582,1.2044436422113192,1.0,0.015573749999999997,1.0490898345153665,0.2872100582304043,0.18222442899702088,0.04679278446925741,0.35847253901314385
SEQ_SHORT,FAILURE_INTENT_MISUNDERSTANDING,0.3415,0.23575,0.09175,0.2686676427525622,1.1396294496397126,1.0,0.011241374999999998,1.0450105105105105,0.18606195651499255,0.18898043254376928,0.04307182564941084,0.328925549902262
DEPTH_HIGH,FAILURE_INTENT_MISUNDERSTANDING,0.41625,0.23575,0.0915,0.21981981981981982,0.9324276556514097,1.0,-0.006630937500000003,0.9795814087759814,-0.11043452464596318,0.1632471008028546,-0.02084420043203162,0.30397141574235953
DEPTH_HIGH & PATTERN_A_T_A,FAILURE_INTENT_MISUNDERSTANDING,0.41475,0.23575,0.091,0.21940928270042193,0.9306862468734759,1.0,-0.006777312499999993,0.9790662162162161,-0.11288923868447698,0.16264521894548703,-0.02138137690491078,0.302705701795598
SEQ_SHORT,FAILURE_NO_FAILURE,0.3415,0.13775,0.0905,0.26500732064421667,1.9238280990505745,1.0,0.04345837499999999,1.17314093625498,0.7292377200820548,0.2327974276527331,0.1475874985725911,0.46099730823499396
DEPTH_HIGH,FAILURE_WRONG_TOOL_SELECTION,0.41625,0.2085,0.09,0.2162162162162162,1.0370082312528355,1.0,0.003211875000000003,1.0098448275862069,0.061134903640257025,0.16830294530154274,0.009748851820866974,0.3239354462376045
DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A,FAILURE_INTENT_MISUNDERSTANDING,0.409,0.23575,0.0895,0.21882640586797067,0.9282138106806815,1.0,-0.00692174999999999,0.9783356807511737,-0.11571688295404661,0.16118865375956778,-0.022144055128595772,0.2992329272181847
DEPTH_HIGH & MULTI_TOOL_CYCLE,FAILURE_INTENT_MISUNDERSTANDING,0.409,0.23575,0.0895,0.21882640586797067,0.9282138106806815,1.0,-0.00692174999999999,0.9783356807511737,-0.11571688295404661,0.16118865375956778,-0.022144055128595772,0.2992329272181847
DEPTH_HIGH & PATTERN_A_T_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,0.27575,0.23175,0.08925,0.3236627379873073,1.3966029686615202,1.0,0.025344937499999998,1.1358977882037533,0.39209788161035897,0.21338912133891208,0.11963909923502417,0.3543880032978608
DEPTH_HIGH & PATTERN_A_T_A,FAILURE_WRONG_TOOL_SELECTION,0.41475,0.2085,0.08925,0.2151898734177215,1.0320857238260024,1.0,0.002774625000000003,1.008524193548387,0.05311958187803106,0.16713483146067415,0.00845214582150538,0.32162371368727805
NO_USER_REENTRY,FAILURE_INTENT_MISUNDERSTANDING,0.418,0.23575,0.08925,0.21351674641148324,0.9056913951706607,1.0,-0.009293499999999996,0.9717307984790874,-0.1517628231298071,0.15810451727192204,-0.029091597760571467,0.2960478747964097
TOOL_LOW,FAILURE_EXECUTION_CASCADING_ERROR,0.3565,0.23175,0.0885,0.2482468443197756,1.0711837942600888,1.0,0.005881125000000001,1.0219444962686568,0.10326867106528126,0.17708854427213608,0.021473276042662647,0.3150619334867486
DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A,FAILURE_WRONG_TOOL_SELECTION,0.409,0.2085,0.08825,0.21577017114914426,1.0348689263747928,1.0,0.002973500000000004,1.0092704598597038,0.05701193061167761,0.16674539442607464,0.009185307832146902,0.3195157810182172
DEPTH_HIGH & MULTI_TOOL_CYCLE,FAILURE_WRONG_TOOL_SELECTION,0.409,0.2085,0.08825,0.21577017114914426,1.0348689263747928,1.0,0.002973500000000004,1.0092704598597038,0.05701193061167761,0.16674539442607464,0.009185307832146902,0.3195157810182172
MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,0.27175,0.23175,0.08775,0.32290708371665133,1.3933423245594447,1.0,0.024771937499999994,1.1346300951086956,0.3876433670460446,0.21106434155141307,0.11865549458724546,0.3507739302078402
MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,0.27175,0.23175,0.08775,0.32290708371665133,1.3933423245594447,1.0,0.024771937499999994,1.1346300951086956,0.3876433670460446,0.21106434155141307,0.11865549458724546,0.3507739302078402
PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,0.27175,0.23175,0.08775,0.32290708371665133,1.3933423245594447,1.0,0.024771937499999994,1.1346300951086956,0.3876433670460446,0.21106434155141307,0.11865549458724546,0.3507739302078402
MULTI_TOOL_CYCLE & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,0.27175,0.23175,0.08775,0.32290708371665133,1.3933423245594447,1.0,0.024771937499999994,1.1346300951086956,0.3876433670460446,0.21106434155141307,0.11865549458724546,0.3507739302078402
PATTERN_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,0.27175,0.23175,0.08775,0.32290708371665133,1.3933423245594447,1.0,0.024771937499999994,1.1346300951086956,0.3876433670460446,0.21106434155141307,0.11865549458724546,0.3507739302078402
PATTERN_A_T_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,0.27175,0.23175,0.08775,0.32290708371665133,1.3933423245594447,1.0,0.024771937499999994,1.1346300951086956,0.3876433670460446,0.21106434155141307,0.11865549458724546,0.3507739302078402
SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,0.27175,0.23175,0.08775,0.32290708371665133,1.3933423245594447,1.0,0.024771937499999994,1.1346300951086956,0.3876433670460446,0.21106434155141307,0.11865549458724546,0.3507739302078402
DEPTH_HIGH & MULTI_TOOL_CYCLE & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,0.27075,0.23175,0.08725,0.322253000923361,1.3905199608343517,1.0,0.024503687499999996,1.1335350817438692,0.3851142350002406,0.21011438892233594,0.11780410142969215,0.34936814015963086
DEPTH_HIGH & PATTERN_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,0.27075,0.23175,0.08725,0.322253000923361,1.3905199608343517,1.0,0.024503687499999996,1.1335350817438692,0.3851142350002406,0.21011438892233594,0.11780410142969215,0.34936814015963086
DEPTH_HIGH & PATTERN_A_T_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,0.27075,0.23175,0.08725,0.322253000923361,1.3905199608343517,1.0,0.024503687499999996,1.1335350817438692,0.3851142350002406,0.21011438892233594,0.11780410142969215,0.34936814015963086
DEPTH_HIGH & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,0.27075,0.23175,0.08725,0.322253000923361,1.3905199608343517,1.0,0.024503687499999996,1.1335350817438692,0.3851142350002406,0.21011438892233594,0.11780410142969215,0.34936814015963086
DEPTH_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,0.33325,0.23175,0.08725,0.26181545386346583,1.129732271255516,1.0,0.010019312499999988,1.040728912601626,0.17223026204818934,0.1826268969126112,0.03913498713109771,0.3191493666296833
PATTERN_A_T_A & SEQ_MEDIUM,FAILURE_INTENT_MISUNDERSTANDING,0.38675,0.23575,0.0865,0.22365869424692952,0.9487113223623734,1.0,-0.004676312500000002,0.9844252706078268,-0.08101377388991936,0.16138059701492538,-0.0158211393563238,0.29528639908528875
SEQ_MEDIUM,FAILURE_INTENT_MISUNDERSTANDING,0.38675,0.23575,0.0865,0.22365869424692952,0.9487113223623734,1.0,-0.004676312500000002,0.9844252706078268,-0.08101377388991936,0.16138059701492538,-0.0158211393563238,0.29528639908528875
MULTI_TOOL_CYCLE & PATTERN_A_T_A & TOOL_MEDIUM,FAILURE_INTENT_MISUNDERSTANDING,0.37625,0.23575,0.086,0.22857142857142856,0.9695500681714891,1.0,-0.0027009375,0.9906944444444444,-0.047937037920343435,0.16349809885931557,-0.009392962287957374,0.2966823208604757
MULTI_TOOL_CYCLE & TOOL_MEDIUM,FAILURE_INTENT_MISUNDERSTANDING,0.37625,0.23575,0.086,0.22857142857142856,0.9695500681714891,1.0,-0.0027009375,0.9906944444444444,-0.047937037920343435,0.16349809885931557,-0.009392962287957374,0.2966823208604757
PATTERN_A_T_A & TOOL_MEDIUM,FAILURE_INTENT_MISUNDERSTANDING,0.37625,0.23575,0.086,0.22857142857142856,0.9695500681714891,1.0,-0.0027009375,0.9906944444444444,-0.047937037920343435,0.16349809885931557,-0.009392962287957374,0.2966823208604757
TOOL_MEDIUM,FAILURE_INTENT_MISUNDERSTANDING,0.37625,0.23575,0.086,0.22857142857142856,0.9695500681714891,1.0,-0.0027009375,0.9906944444444444,-0.047937037920343435,0.16349809885931557,-0.009392962287957374,0.2966823208604757
MULTI_TOOL_CYCLE & TOOL_MEDIUM & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,0.262,0.23175,0.084,0.3206106870229008,1.3834333852120853,1.0,0.023281499999999997,1.130794943820225,0.375556523422377,0.20500305064063454,0.11566636774865055,0.34153511697423355
PATTERN_A_T_A & TOOL_MEDIUM & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,0.262,0.23175,0.084,0.3206106870229008,1.3834333852120853,1.0,0.023281499999999997,1.130794943820225,0.375556523422377,0.20500305064063454,0.11566636774865055,0.34153511697423355
