pattern_text,pattern_length,support_count,support_percent
USER → ASSISTANT → ASSISTANT → ASSISTANT → ASSISTANT,5,1897,47.425
USER → ASSISTANT → ASSISTANT → ASSISTANT → TOOL,5,1897,47.425
USER → ASSISTANT → ASSISTANT → TOOL → TOOL,5,1897,47.425
USER → ASSISTANT → TOOL → TOOL → TOOL,5,1897,47.425
USER → TOOL → ASSISTANT → ASSISTANT → ASSISTANT,5,1897,47.425
USER → TOOL → ASSISTANT → ASSISTANT → TOOL,5,1897,47.425
USER → TOOL → ASSISTANT → TOOL → TOOL,5,1897,47.425
USER → TOOL → TOOL → ASSISTANT → ASSISTANT,5,1897,47.425
USER → TOOL → TOOL → ASSISTANT → TOOL,5,1897,47.425
USER → TOOL → TOOL → TOOL → ASSISTANT,5,1897,47.425
ASSISTANT → ASSISTANT → ASSISTANT → ASSISTANT,4,1897,47.425
ASSISTANT → ASSISTANT → ASSISTANT → TOOL,4,1897,47.425
ASSISTANT → ASSISTANT → TOOL → TOOL,4,1897,47.425
ASSISTANT → TOOL → TOOL → TOOL,4,1897,47.425
TOOL → ASSISTANT → ASSISTANT → ASSISTANT,4,1897,47.425
TOOL → ASSISTANT → ASSISTANT → TOOL,4,1897,47.425
TOOL → ASSISTANT → TOOL → TOOL,4,1897,47.425
TOOL → TOOL → ASSISTANT → ASSISTANT,4,1897,47.425
TOOL → TOOL → ASSISTANT → TOOL,4,1897,47.425
TOOL → TOOL → TOOL → ASSISTANT,4,1897,47.425
USER → TOOL → TOOL → TOOL,4,1897,47.425
TOOL → TOOL → TOOL,3,1897,47.425
USER → ASSISTANT → TOOL → USER → ASSISTANT,5,1768,44.2
ASSISTANT → TOOL → USER → ASSISTANT,4,1768,44.2
USER → ASSISTANT → TOOL → USER,4,1768,44.2
USER → ASSISTANT → USER → ASSISTANT,4,1768,44.2
USER → TOOL → USER → ASSISTANT,4,1768,44.2
ASSISTANT → TOOL → USER,3,1768,44.2
ASSISTANT → USER → ASSISTANT,3,1768,44.2
TOOL → USER → ASSISTANT,3,1768,44.2
USER → ASSISTANT → USER,3,1768,44.2
USER → TOOL → USER,3,1768,44.2
ASSISTANT → USER,2,1768,44.2
TOOL → USER,2,1768,44.2
USER → USER → ASSISTANT → TOOL → ASSISTANT,5,1330,33.25
USER → USER → ASSISTANT → ASSISTANT,4,1330,33.25
USER → USER → ASSISTANT → TOOL,4,1330,33.25
USER → USER → TOOL → ASSISTANT,4,1330,33.25
USER → USER → TOOL,3,1330,33.25
ASSISTANT → TOOL → ASSISTANT → TOOL → USER → ASSISTANT,6,1238,30.95
USER → ASSISTANT → ASSISTANT → TOOL → USER → ASSISTANT,6,1238,30.95
USER → ASSISTANT → TOOL → ASSISTANT → TOOL → USER,6,1238,30.95
USER → ASSISTANT → TOOL → ASSISTANT → USER → ASSISTANT,6,1238,30.95
USER → ASSISTANT → TOOL → TOOL → USER → ASSISTANT,6,1238,30.95
USER → TOOL → ASSISTANT → TOOL → USER → ASSISTANT,6,1238,30.95
ASSISTANT → ASSISTANT → TOOL → USER → ASSISTANT,5,1238,30.95
ASSISTANT → TOOL → ASSISTANT → TOOL → USER,5,1238,30.95
ASSISTANT → TOOL → ASSISTANT → USER → ASSISTANT,5,1238,30.95
ASSISTANT → TOOL → TOOL → USER → ASSISTANT,5,1238,30.95
TOOL → ASSISTANT → TOOL → USER → ASSISTANT,5,1238,30.95
USER → ASSISTANT → ASSISTANT → TOOL → USER,5,1238,30.95
USER → ASSISTANT → ASSISTANT → USER → ASSISTANT,5,1238,30.95
USER → ASSISTANT → TOOL → ASSISTANT → USER,5,1238,30.95
USER → ASSISTANT → TOOL → TOOL → USER,5,1238,30.95
USER → TOOL → ASSISTANT → TOOL → USER,5,1238,30.95
USER → TOOL → ASSISTANT → USER → ASSISTANT,5,1238,30.95
USER → TOOL → TOOL → USER → ASSISTANT,5,1238,30.95
ASSISTANT → ASSISTANT → TOOL → USER,4,1238,30.95
ASSISTANT → ASSISTANT → USER → ASSISTANT,4,1238,30.95
ASSISTANT → TOOL → ASSISTANT → USER,4,1238,30.95
ASSISTANT → TOOL → TOOL → USER,4,1238,30.95
TOOL → ASSISTANT → TOOL → USER,4,1238,30.95
TOOL → ASSISTANT → USER → ASSISTANT,4,1238,30.95
TOOL → TOOL → USER → ASSISTANT,4,1238,30.95
USER → ASSISTANT → ASSISTANT → USER,4,1238,30.95
USER → TOOL → ASSISTANT → USER,4,1238,30.95
USER → TOOL → TOOL → USER,4,1238,30.95
ASSISTANT → ASSISTANT → USER,3,1238,30.95
TOOL → ASSISTANT → USER,3,1238,30.95
TOOL → TOOL → USER,3,1238,30.95
ASSISTANT → TOOL → USER → ASSISTANT → TOOL → ASSISTANT,6,1097,27.425
USER → ASSISTANT → TOOL → USER → ASSISTANT → ASSISTANT,6,1097,27.425
USER → ASSISTANT → TOOL → USER → ASSISTANT → TOOL,6,1097,27.425
USER → ASSISTANT → TOOL → USER → TOOL → ASSISTANT,6,1097,27.425
USER → ASSISTANT → USER → ASSISTANT → TOOL → ASSISTANT,6,1097,27.425
USER → TOOL → USER → ASSISTANT → TOOL → ASSISTANT,6,1097,27.425
ASSISTANT → TOOL → USER → ASSISTANT → ASSISTANT,5,1097,27.425
ASSISTANT → TOOL → USER → ASSISTANT → TOOL,5,1097,27.425
ASSISTANT → TOOL → USER → TOOL → ASSISTANT,5,1097,27.425
ASSISTANT → USER → ASSISTANT → TOOL → ASSISTANT,5,1097,27.425
TOOL → USER → ASSISTANT → TOOL → ASSISTANT,5,1097,27.425
USER → ASSISTANT → TOOL → USER → TOOL,5,1097,27.425
USER → ASSISTANT → USER → ASSISTANT → ASSISTANT,5,1097,27.425
USER → ASSISTANT → USER → ASSISTANT → TOOL,5,1097,27.425
USER → ASSISTANT → USER → TOOL → ASSISTANT,5,1097,27.425
USER → TOOL → USER → ASSISTANT → ASSISTANT,5,1097,27.425
USER → TOOL → USER → ASSISTANT → TOOL,5,1097,27.425
USER → TOOL → USER → TOOL → ASSISTANT,5,1097,27.425
ASSISTANT → TOOL → USER → TOOL,4,1097,27.425
ASSISTANT → USER → ASSISTANT → ASSISTANT,4,1097,27.425
ASSISTANT → USER → ASSISTANT → TOOL,4,1097,27.425
ASSISTANT → USER → TOOL → ASSISTANT,4,1097,27.425
TOOL → USER → ASSISTANT → ASSISTANT,4,1097,27.425
TOOL → USER → ASSISTANT → TOOL,4,1097,27.425
TOOL → USER → TOOL → ASSISTANT,4,1097,27.425
USER → ASSISTANT → USER → TOOL,4,1097,27.425
USER → TOOL → USER → TOOL,4,1097,27.425
ASSISTANT → USER → TOOL,3,1097,27.425
TOOL → USER → TOOL,3,1097,27.425
ASSISTANT → ASSISTANT → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,6,1087,27.175
ASSISTANT → ASSISTANT → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,6,1087,27.175
ASSISTANT → ASSISTANT → ASSISTANT → TOOL → ASSISTANT → TOOL,6,1087,27.175
ASSISTANT → ASSISTANT → ASSISTANT → TOOL → TOOL → ASSISTANT,6,1087,27.175
ASSISTANT → ASSISTANT → TOOL → ASSISTANT → ASSISTANT → ASSISTANT,6,1087,27.175
ASSISTANT → ASSISTANT → TOOL → ASSISTANT → ASSISTANT → TOOL,6,1087,27.175
ASSISTANT → ASSISTANT → TOOL → ASSISTANT → TOOL → TOOL,6,1087,27.175
ASSISTANT → ASSISTANT → TOOL → TOOL → ASSISTANT → ASSISTANT,6,1087,27.175
ASSISTANT → ASSISTANT → TOOL → TOOL → ASSISTANT → TOOL,6,1087,27.175
ASSISTANT → ASSISTANT → TOOL → TOOL → TOOL → ASSISTANT,6,1087,27.175
ASSISTANT → TOOL → ASSISTANT → ASSISTANT → ASSISTANT → ASSISTANT,6,1087,27.175
ASSISTANT → TOOL → ASSISTANT → ASSISTANT → ASSISTANT → TOOL,6,1087,27.175
ASSISTANT → TOOL → ASSISTANT → ASSISTANT → TOOL → TOOL,6,1087,27.175
ASSISTANT → TOOL → ASSISTANT → TOOL → TOOL → TOOL,6,1087,27.175
ASSISTANT → TOOL → TOOL → ASSISTANT → ASSISTANT → ASSISTANT,6,1087,27.175
ASSISTANT → TOOL → TOOL → ASSISTANT → ASSISTANT → TOOL,6,1087,27.175
ASSISTANT → TOOL → TOOL → ASSISTANT → TOOL → TOOL,6,1087,27.175
ASSISTANT → TOOL → TOOL → TOOL → ASSISTANT → ASSISTANT,6,1087,27.175
ASSISTANT → TOOL → TOOL → TOOL → ASSISTANT → TOOL,6,1087,27.175
ASSISTANT → TOOL → TOOL → TOOL → TOOL → ASSISTANT,6,1087,27.175
TOOL → ASSISTANT → ASSISTANT → ASSISTANT → TOOL → ASSISTANT,6,1087,27.175
TOOL → ASSISTANT → ASSISTANT → TOOL → ASSISTANT → ASSISTANT,6,1087,27.175
TOOL → ASSISTANT → ASSISTANT → TOOL → ASSISTANT → TOOL,6,1087,27.175
TOOL → ASSISTANT → ASSISTANT → TOOL → TOOL → ASSISTANT,6,1087,27.175
TOOL → ASSISTANT → TOOL → ASSISTANT → ASSISTANT → ASSISTANT,6,1087,27.175
TOOL → ASSISTANT → TOOL → ASSISTANT → ASSISTANT → TOOL,6,1087,27.175
