support,itemsets,itemset_length
0.311,DEPTH_HIGH & PATTERN_A_T_A & TOOL_MEDIUM,3
0.311,DEPTH_HIGH & TOOL_MEDIUM,2
0.30825,MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_MEDIUM,3
0.30825,MULTI_TOOL_CYCLE & SEQ_MEDIUM,2
0.305,PATTERN_A_T_A & TOOL_LOW,2
0.28875,MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A & USER_REENTRY,4
0.28875,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & USER_REENTRY,3
0.28875,PATTERN_A_T_A & PATTERN_A_T_A_T_A & USER_REENTRY,3
0.28875,PATTERN_A_T_A_T_A & USER_REENTRY,2
0.281,DEPTH_MEDIUM & PATTERN_A_T_A,2
0.27575,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & USER_REENTRY,4
0.27575,DEPTH_HIGH & PATTERN_A_T_A & PATTERN_A_T_A_T_A & USER_REENTRY,4
0.27575,DEPTH_HIGH & PATTERN_A_T_A_T_A & USER_REENTRY,3
0.27175,MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_LONG,4
0.27175,MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_LONG,3
0.27175,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & SEQ_LONG,3
0.27175,PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_LONG,3
0.27175,MULTI_TOOL_CYCLE & SEQ_LONG,2
0.27175,PATTERN_A_T_A & SEQ_LONG,2
0.27175,PATTERN_A_T_A_T_A & SEQ_LONG,2
0.27175,SEQ_LONG,1
0.27075,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_LONG,4
0.27075,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & SEQ_LONG,4
0.27075,DEPTH_HIGH & PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_LONG,4
0.27075,DEPTH_HIGH & MULTI_TOOL_CYCLE & SEQ_LONG,3
0.27075,DEPTH_HIGH & PATTERN_A_T_A & SEQ_LONG,3
0.27075,DEPTH_HIGH & PATTERN_A_T_A_T_A & SEQ_LONG,3
0.27075,DEPTH_HIGH & SEQ_LONG,2
0.2665,DEPTH_MEDIUM & TOOL_LOW,2
0.262,MULTI_TOOL_CYCLE & PATTERN_A_T_A & TOOL_MEDIUM & USER_REENTRY,4
0.262,MULTI_TOOL_CYCLE & TOOL_MEDIUM & USER_REENTRY,3
0.262,PATTERN_A_T_A & TOOL_MEDIUM & USER_REENTRY,3
0.262,TOOL_MEDIUM & USER_REENTRY,2
0.26125,DEPTH_HIGH & MULTI_TOOL_CYCLE & TOOL_MEDIUM & USER_REENTRY,4
0.26125,DEPTH_HIGH & PATTERN_A_T_A & TOOL_MEDIUM & USER_REENTRY,4
0.26125,DEPTH_HIGH & TOOL_MEDIUM & USER_REENTRY,3
0.2575,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & TOOL_MEDIUM,4
0.2575,DEPTH_HIGH & PATTERN_A_T_A & PATTERN_A_T_A_T_A & TOOL_MEDIUM,4
0.2575,DEPTH_HIGH & PATTERN_A_T_A_T_A & TOOL_MEDIUM,3
0.2545,MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_MEDIUM,4
0.2545,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & SEQ_MEDIUM,3
0.2545,PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_MEDIUM,3
0.2545,PATTERN_A_T_A_T_A & SEQ_MEDIUM,2
0.2505,DEPTH_LOW,1
0.25025,DEPTH_LOW & SEQ_SHORT,2
0.24325,DEPTH_MEDIUM & PATTERN_A_T_A & SEQ_MEDIUM,3
0.24325,DEPTH_MEDIUM & SEQ_MEDIUM,2
0.2375,MULTI_TOOL_CYCLE & NO_USER_REENTRY & PATTERN_A_T_A & PATTERN_A_T_A_T_A,4
0.2375,MULTI_TOOL_CYCLE & NO_USER_REENTRY & PATTERN_A_T_A,3
0.2375,MULTI_TOOL_CYCLE & NO_USER_REENTRY & PATTERN_A_T_A_T_A,3
0.2375,NO_USER_REENTRY & PATTERN_A_T_A & PATTERN_A_T_A_T_A,3
0.2375,MULTI_TOOL_CYCLE & NO_USER_REENTRY,2
0.2375,NO_USER_REENTRY & PATTERN_A_T_A_T_A,2
0.23575,FAILURE_INTENT_MISUNDERSTANDING,1
0.23175,FAILURE_EXECUTION_CASCADING_ERROR,1
0.2215,PATTERN_A_T_A & SEQ_MEDIUM & USER_REENTRY,3
0.2215,SEQ_MEDIUM & USER_REENTRY,2
0.22075,NO_TOOL_CYCLE & SEQ_SHORT,2
0.22075,NO_TOOL_CYCLE,1
0.21725,FAILURE_EXECUTION_CASCADING_ERROR & PATTERN_A_T_A,2
0.2155,DEPTH_MEDIUM & PATTERN_A_T_A & TOOL_LOW,3
0.2085,FAILURE_WRONG_TOOL_SELECTION,1
0.20825,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & TOOL_MEDIUM & USER_REENTRY,4
0.20825,PATTERN_A_T_A & PATTERN_A_T_A_T_A & TOOL_MEDIUM & USER_REENTRY,4
0.20825,PATTERN_A_T_A_T_A & TOOL_MEDIUM & USER_REENTRY,3
0.20775,DEPTH_HIGH & PATTERN_A_T_A_T_A & TOOL_MEDIUM & USER_REENTRY,4
0.2025,MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_MEDIUM & TOOL_MEDIUM,4
0.2025,MULTI_TOOL_CYCLE & SEQ_MEDIUM & TOOL_MEDIUM,3
0.2025,PATTERN_A_T_A & SEQ_MEDIUM & TOOL_MEDIUM,3
0.2025,SEQ_MEDIUM & TOOL_MEDIUM,2
0.1995,MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_LONG & USER_REENTRY,4
0.1995,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & SEQ_LONG & USER_REENTRY,4
0.1995,PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_LONG & USER_REENTRY,4
0.1995,MULTI_TOOL_CYCLE & SEQ_LONG & USER_REENTRY,3
0.1995,PATTERN_A_T_A & SEQ_LONG & USER_REENTRY,3
0.1995,PATTERN_A_T_A_T_A & SEQ_LONG & USER_REENTRY,3
0.1995,SEQ_LONG & USER_REENTRY,2
0.19925,ONE_TOOL_CYCLE & PATTERN_A_T_A & TOOL_LOW,3
0.19925,ONE_TOOL_CYCLE & PATTERN_A_T_A,2
0.19925,ONE_TOOL_CYCLE & TOOL_LOW,2
0.19925,ONE_TOOL_CYCLE,1
0.199,DEPTH_HIGH & MULTI_TOOL_CYCLE & SEQ_LONG & USER_REENTRY,4
0.199,DEPTH_HIGH & PATTERN_A_T_A & SEQ_LONG & USER_REENTRY,4
0.199,DEPTH_HIGH & PATTERN_A_T_A_T_A & SEQ_LONG & USER_REENTRY,4
0.199,DEPTH_HIGH & SEQ_LONG & USER_REENTRY,3
0.18625,FAILURE_PARAMETER_HALLUCINATION,1
0.186,NO_USER_REENTRY & PATTERN_A_T_A & TOOL_LOW,3
0.186,NO_USER_REENTRY & TOOL_LOW,2
0.18425,PATTERN_A_T_A & SEQ_MEDIUM & TOOL_LOW,3
0.18425,SEQ_MEDIUM & TOOL_LOW,2
0.1805,NO_USER_REENTRY & SEQ_SHORT,2
0.17875,DEPTH_MEDIUM & PATTERN_A_T_A & SEQ_MEDIUM & TOOL_LOW,4
0.17875,DEPTH_MEDIUM & SEQ_MEDIUM & TOOL_LOW,3
0.17375,MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_LONG & TOOL_MEDIUM,4
0.17375,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & SEQ_LONG & TOOL_MEDIUM,4
0.17375,PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_LONG & TOOL_MEDIUM,4
0.17375,MULTI_TOOL_CYCLE & SEQ_LONG & TOOL_MEDIUM,3
0.17375,PATTERN_A_T_A & SEQ_LONG & TOOL_MEDIUM,3
0.17375,PATTERN_A_T_A_T_A & SEQ_LONG & TOOL_MEDIUM,3
0.17375,SEQ_LONG & TOOL_MEDIUM,2
0.17325,DEPTH_HIGH & MULTI_TOOL_CYCLE & SEQ_LONG & TOOL_MEDIUM,4
0.17325,DEPTH_HIGH & PATTERN_A_T_A & SEQ_LONG & TOOL_MEDIUM,4
0.17325,DEPTH_HIGH & PATTERN_A_T_A_T_A & SEQ_LONG & TOOL_MEDIUM,4
0.17325,DEPTH_HIGH & SEQ_LONG & TOOL_MEDIUM,3
0.17225,SEQ_SHORT & TOOL_LOW,2
0.17075,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A,4
0.17075,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & PATTERN_A_T_A,3
0.17075,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,3
0.17075,DEPTH_MEDIUM & PATTERN_A_T_A & PATTERN_A_T_A_T_A,3
0.17075,DEPTH_MEDIUM & MULTI_TOOL_CYCLE,2
0.17075,DEPTH_MEDIUM & PATTERN_A_T_A_T_A,2
0.1705,TOOL_LOW & USER_REENTRY,2
0.16975,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_MEDIUM,4
0.16975,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & SEQ_MEDIUM,4
0.16975,DEPTH_MEDIUM & PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_MEDIUM,4
0.16975,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & SEQ_MEDIUM,3
0.16975,DEPTH_MEDIUM & PATTERN_A_T_A_T_A & SEQ_MEDIUM,3
0.16925,NO_TOOL & NO_TOOL_CYCLE & SEQ_SHORT,3
0.16925,NO_TOOL & NO_TOOL_CYCLE,2
0.16925,NO_TOOL & SEQ_SHORT,2
0.16925,NO_TOOL,1
0.1685,DEPTH_LOW & NO_USER_REENTRY & SEQ_SHORT,3
0.1685,DEPTH_LOW & NO_USER_REENTRY,2
0.1685,FAILURE_INTENT_MISUNDERSTANDING & PATTERN_A_T_A,2
0.16825,DEPTH_MEDIUM & NO_USER_REENTRY,2
0.16725,DEPTH_MEDIUM & NO_USER_REENTRY & PATTERN_A_T_A,3
0.167,DEPTH_LOW & NO_TOOL & NO_TOOL_CYCLE & SEQ_SHORT,4
0.167,DEPTH_LOW & NO_TOOL & NO_TOOL_CYCLE,3
0.167,DEPTH_LOW & NO_TOOL & SEQ_SHORT,3
0.167,DEPTH_LOW & NO_TOOL_CYCLE & SEQ_SHORT,3
0.167,DEPTH_LOW & NO_TOOL,2
0.167,DEPTH_LOW & NO_TOOL_CYCLE,2
0.16525,MULTI_TOOL_CYCLE & NO_USER_REENTRY & PATTERN_A_T_A & SEQ_MEDIUM,4
0.16525,MULTI_TOOL_CYCLE & NO_USER_REENTRY & PATTERN_A_T_A_T_A & SEQ_MEDIUM,4
0.16525,NO_USER_REENTRY & PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_MEDIUM,4
0.16525,FAILURE_EXECUTION_CASCADING_ERROR & MULTI_TOOL_CYCLE & PATTERN_A_T_A,3
0.16525,MULTI_TOOL_CYCLE & NO_USER_REENTRY & SEQ_MEDIUM,3
0.16525,NO_USER_REENTRY & PATTERN_A_T_A & SEQ_MEDIUM,3
0.16525,NO_USER_REENTRY & PATTERN_A_T_A_T_A & SEQ_MEDIUM,3
0.16525,FAILURE_EXECUTION_CASCADING_ERROR & MULTI_TOOL_CYCLE,2
0.16525,NO_USER_REENTRY & SEQ_MEDIUM,2
0.165,DEPTH_MEDIUM & USER_REENTRY,2
0.164,DEPTH_MEDIUM & TOOL_LOW & USER_REENTRY,3
0.161,FAILURE_EXECUTION_CASCADING_ERROR & USER_REENTRY,2
0.161,SEQ_SHORT & USER_REENTRY,2
0.15775,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & NO_USER_REENTRY & PATTERN_A_T_A,4
0.15775,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & NO_USER_REENTRY & PATTERN_A_T_A_T_A,4
0.15775,DEPTH_MEDIUM & NO_USER_REENTRY & PATTERN_A_T_A & PATTERN_A_T_A_T_A,4
0.15775,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & NO_USER_REENTRY,3
0.15775,DEPTH_MEDIUM & NO_USER_REENTRY & PATTERN_A_T_A_T_A,3
0.1575,FAILURE_WRONG_TOOL_SELECTION & PATTERN_A_T_A,2
0.15725,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & NO_USER_REENTRY & SEQ_MEDIUM,4
0.15725,DEPTH_MEDIUM & NO_USER_REENTRY & PATTERN_A_T_A & SEQ_MEDIUM,4
0.15725,DEPTH_MEDIUM & NO_USER_REENTRY & PATTERN_A_T_A_T_A & SEQ_MEDIUM,4
0.15725,DEPTH_MEDIUM & NO_USER_REENTRY & SEQ_MEDIUM,3
0.15475,FAILURE_PARAMETER_HALLUCINATION & PATTERN_A_T_A,2
0.14875,FAILURE_EXECUTION_CASCADING_ERROR & MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A,4
0.14875,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & SEQ_MEDIUM & TOOL_MEDIUM,4
0.14875,PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_MEDIUM & TOOL_MEDIUM,4
0.14875,FAILURE_EXECUTION_CASCADING_ERROR & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,3
0.14875,FAILURE_EXECUTION_CASCADING_ERROR & PATTERN_A_T_A & PATTERN_A_T_A_T_A,3
0.14875,PATTERN_A_T_A_T_A & SEQ_MEDIUM & TOOL_MEDIUM,3
0.14875,FAILURE_EXECUTION_CASCADING_ERROR & PATTERN_A_T_A_T_A,2
0.14675,FAILURE_EXECUTION_CASCADING_ERROR & PATTERN_A_T_A & USER_REENTRY,3
0.1465,FAILURE_INTENT_MISUNDERSTANDING & USER_REENTRY,2
0.14325,DEPTH_HIGH & PATTERN_A_T_A & SEQ_MEDIUM,3
0.14325,DEPTH_HIGH & SEQ_MEDIUM,2
0.143,MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_MEDIUM & USER_REENTRY,4
0.143,MULTI_TOOL_CYCLE & SEQ_MEDIUM & USER_REENTRY,3
0.13825,DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_MEDIUM,4
0.13825,DEPTH_HIGH & MULTI_TOOL_CYCLE & SEQ_MEDIUM,3
0.138,FAILURE_WRONG_TOOL_SELECTION & USER_REENTRY,2
0.13775,DEPTH_HIGH & MULTI_TOOL_CYCLE & SEQ_MEDIUM & TOOL_MEDIUM,4
0.13775,DEPTH_HIGH & PATTERN_A_T_A & SEQ_MEDIUM & TOOL_MEDIUM,4
0.13775,DEPTH_HIGH & SEQ_MEDIUM & TOOL_MEDIUM,3
0.13775,FAILURE_NO_FAILURE,1
0.13525,DEPTH_HIGH & PATTERN_A_T_A & SEQ_MEDIUM & USER_REENTRY,4
0.13525,DEPTH_HIGH & SEQ_MEDIUM & USER_REENTRY,3
0.13325,NO_TOOL_CYCLE & SEQ_SHORT & USER_REENTRY,3
0.13325,NO_TOOL_CYCLE & USER_REENTRY,2
0.13175,MULTI_TOOL_CYCLE & SEQ_LONG & TOOL_MEDIUM & USER_REENTRY,4
0.13175,PATTERN_A_T_A & SEQ_LONG & TOOL_MEDIUM & USER_REENTRY,4
0.13175,PATTERN_A_T_A_T_A & SEQ_LONG & TOOL_MEDIUM & USER_REENTRY,4
0.13175,SEQ_LONG & TOOL_MEDIUM & USER_REENTRY,3
0.1315,DEPTH_HIGH & SEQ_LONG & TOOL_MEDIUM & USER_REENTRY,4
0.13025,DEPTH_HIGH & MULTI_TOOL_CYCLE & SEQ_MEDIUM & USER_REENTRY,4
0.13025,MULTI_TOOL_CYCLE & SEQ_MEDIUM & TOOL_MEDIUM & USER_REENTRY,4
0.13025,PATTERN_A_T_A & SEQ_MEDIUM & TOOL_MEDIUM & USER_REENTRY,4
0.13025,SEQ_MEDIUM & TOOL_MEDIUM & USER_REENTRY,3
0.12975,DEPTH_HIGH & SEQ_MEDIUM & TOOL_MEDIUM & USER_REENTRY,4
0.12925,DEPTH_HIGH & FAILURE_EXECUTION_CASCADING_ERROR & PATTERN_A_T_A,3
0.12925,DEPTH_HIGH & FAILURE_EXECUTION_CASCADING_ERROR,2
0.128,DEPTH_HIGH & FAILURE_EXECUTION_CASCADING_ERROR & MULTI_TOOL_CYCLE & PATTERN_A_T_A,4
0.128,DEPTH_HIGH & FAILURE_EXECUTION_CASCADING_ERROR & MULTI_TOOL_CYCLE,3
0.128,FAILURE_INTENT_MISUNDERSTANDING & MULTI_TOOL_CYCLE & PATTERN_A_T_A,3
0.128,FAILURE_INTENT_MISUNDERSTANDING & MULTI_TOOL_CYCLE,2
0.122,FAILURE_PARAMETER_HALLUCINATION & MULTI_TOOL_CYCLE & PATTERN_A_T_A,3
0.122,FAILURE_PARAMETER_HALLUCINATION & MULTI_TOOL_CYCLE,2
0.12075,ONE_TOOL_CYCLE & PATTERN_A_T_A & SEQ_SHORT & TOOL_LOW,4
0.12075,ONE_TOOL_CYCLE & PATTERN_A_T_A & SEQ_SHORT,3
0.12075,ONE_TOOL_CYCLE & SEQ_SHORT & TOOL_LOW,3
0.12075,PATTERN_A_T_A & SEQ_SHORT & TOOL_LOW,3
0.12075,ONE_TOOL_CYCLE & SEQ_SHORT,2
0.12075,PATTERN_A_T_A & SEQ_SHORT,2
0.11925,FAILURE_WRONG_TOOL_SELECTION & MULTI_TOOL_CYCLE & PATTERN_A_T_A,3
0.11925,FAILURE_WRONG_TOOL_SELECTION & MULTI_TOOL_CYCLE,2
0.119,PATTERN_A_T_A & TOOL_LOW & USER_REENTRY,3
0.11825,FAILURE_INTENT_MISUNDERSTANDING & MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A,4
0.11825,FAILURE_INTENT_MISUNDERSTANDING & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,3
0.11825,FAILURE_INTENT_MISUNDERSTANDING & PATTERN_A_T_A & PATTERN_A_T_A_T_A,3
0.11825,FAILURE_INTENT_MISUNDERSTANDING & PATTERN_A_T_A_T_A,2
0.11475,FAILURE_NO_FAILURE & NO_USER_REENTRY,2
0.11425,MULTI_TOOL_CYCLE & NO_USER_REENTRY & PATTERN_A_T_A & TOOL_MEDIUM,4
0.11425,MULTI_TOOL_CYCLE & NO_USER_REENTRY & PATTERN_A_T_A_T_A & TOOL_MEDIUM,4
0.11425,NO_USER_REENTRY & PATTERN_A_T_A & PATTERN_A_T_A_T_A & TOOL_MEDIUM,4
0.11425,MULTI_TOOL_CYCLE & NO_USER_REENTRY & TOOL_MEDIUM,3
0.11425,NO_USER_REENTRY & PATTERN_A_T_A & TOOL_MEDIUM,3
0.11425,NO_USER_REENTRY & PATTERN_A_T_A_T_A & TOOL_MEDIUM,3
0.11425,NO_USER_REENTRY & TOOL_MEDIUM,2
0.11375,DEPTH_MEDIUM & PATTERN_A_T_A & USER_REENTRY,3
0.1135,FAILURE_PARAMETER_HALLUCINATION & USER_REENTRY,2
0.113,DEPTH_MEDIUM & PATTERN_A_T_A & TOOL_LOW & USER_REENTRY,4
0.11175,DEPTH_HIGH & FAILURE_EXECUTION_CASCADING_ERROR & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,4
0.11175,DEPTH_HIGH & FAILURE_EXECUTION_CASCADING_ERROR & PATTERN_A_T_A & PATTERN_A_T_A_T_A,4
0.11175,DEPTH_HIGH & FAILURE_EXECUTION_CASCADING_ERROR & PATTERN_A_T_A_T_A,3
0.1115,FAILURE_EXECUTION_CASCADING_ERROR & MULTI_TOOL_CYCLE & PATTERN_A_T_A & TOOL_MEDIUM,4
0.1115,FAILURE_EXECUTION_CASCADING_ERROR & MULTI_TOOL_CYCLE & TOOL_MEDIUM,3
0.1115,FAILURE_EXECUTION_CASCADING_ERROR & PATTERN_A_T_A & TOOL_MEDIUM,3
0.1115,FAILURE_EXECUTION_CASCADING_ERROR & TOOL_MEDIUM,2
0.11025,DEPTH_MEDIUM & ONE_TOOL_CYCLE & PATTERN_A_T_A & TOOL_LOW,4
0.11025,DEPTH_MEDIUM & ONE_TOOL_CYCLE & PATTERN_A_T_A,3
0.11025,DEPTH_MEDIUM & ONE_TOOL_CYCLE & TOOL_LOW,3
0.11025,DEPTH_MEDIUM & ONE_TOOL_CYCLE,2
0.1095,FAILURE_EXECUTION_CASCADING_ERROR & PATTERN_A_T_A & SEQ_MEDIUM,3
0.1095,FAILURE_EXECUTION_CASCADING_ERROR & SEQ_MEDIUM,2
0.109,FAILURE_EXECUTION_CASCADING_ERROR & MULTI_TOOL_CYCLE & PATTERN_A_T_A & USER_REENTRY,4
0.109,FAILURE_EXECUTION_CASCADING_ERROR & MULTI_TOOL_CYCLE & USER_REENTRY,3
0.10825,FAILURE_PARAMETER_HALLUCINATION & MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A,4
0.10825,FAILURE_PARAMETER_HALLUCINATION & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,3
0.10825,FAILURE_PARAMETER_HALLUCINATION & PATTERN_A_T_A & PATTERN_A_T_A_T_A,3
0.10825,FAILURE_PARAMETER_HALLUCINATION & PATTERN_A_T_A_T_A,2
0.10675,DEPTH_HIGH & FAILURE_EXECUTION_CASCADING_ERROR & PATTERN_A_T_A & USER_REENTRY,4
0.10675,DEPTH_HIGH & FAILURE_EXECUTION_CASCADING_ERROR & USER_REENTRY,3
0.10625,ONE_TOOL_CYCLE & PATTERN_A_T_A & TOOL_LOW & USER_REENTRY,4
0.10625,ONE_TOOL_CYCLE & PATTERN_A_T_A & USER_REENTRY,3
0.10625,ONE_TOOL_CYCLE & TOOL_LOW & USER_REENTRY,3
0.10625,ONE_TOOL_CYCLE & USER_REENTRY,2
0.106,FAILURE_WRONG_TOOL_SELECTION & MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A,4
0.106,FAILURE_WRONG_TOOL_SELECTION & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,3
0.106,FAILURE_WRONG_TOOL_SELECTION & PATTERN_A_T_A & PATTERN_A_T_A_T_A,3
0.106,FAILURE_WRONG_TOOL_SELECTION & PATTERN_A_T_A_T_A,2
0.10575,MULTI_TOOL_CYCLE & PATTERN_A_T_A & PATTERN_A_T_A_T_A & TOOL_LOW,4
0.10575,MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_MEDIUM & TOOL_LOW,4
0.10575,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & SEQ_MEDIUM & TOOL_LOW,4
0.10575,PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_MEDIUM & TOOL_LOW,4
0.10575,MULTI_TOOL_CYCLE & PATTERN_A_T_A & TOOL_LOW,3
0.10575,MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & TOOL_LOW,3
0.10575,MULTI_TOOL_CYCLE & SEQ_MEDIUM & TOOL_LOW,3
0.10575,PATTERN_A_T_A & PATTERN_A_T_A_T_A & TOOL_LOW,3
0.10575,PATTERN_A_T_A_T_A & SEQ_MEDIUM & TOOL_LOW,3
0.10575,MULTI_TOOL_CYCLE & TOOL_LOW,2
0.10575,PATTERN_A_T_A_T_A & TOOL_LOW,2
0.1055,DEPTH_HIGH & FAILURE_EXECUTION_CASCADING_ERROR & MULTI_TOOL_CYCLE & USER_REENTRY,4
0.10525,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & PATTERN_A_T_A & TOOL_LOW,4
0.10525,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & TOOL_LOW,4
0.10525,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & SEQ_MEDIUM & TOOL_LOW,4
0.10525,DEPTH_MEDIUM & PATTERN_A_T_A & PATTERN_A_T_A_T_A & TOOL_LOW,4
0.10525,DEPTH_MEDIUM & PATTERN_A_T_A_T_A & SEQ_MEDIUM & TOOL_LOW,4
0.10525,DEPTH_MEDIUM & MULTI_TOOL_CYCLE & TOOL_LOW,3
0.10525,DEPTH_MEDIUM & PATTERN_A_T_A_T_A & TOOL_LOW,3
0.1025,DEPTH_MEDIUM & NO_USER_REENTRY & PATTERN_A_T_A & TOOL_LOW,4
0.1025,DEPTH_MEDIUM & NO_USER_REENTRY & TOOL_LOW,3
