antecedent_text,consequent_item,failure_type,support,confidence,lift,leverage,conviction
NO_TOOL & NO_TOOL_CYCLE & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.05475,0.32348596750369274,2.348355480970546,0.03143581249999999,1.2745485807860262
NO_TOOL & NO_TOOL_CYCLE,FAILURE_NO_FAILURE,No Failure,0.05475,0.32348596750369274,2.348355480970546,0.03143581249999999,1.2745485807860262
NO_TOOL & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.05475,0.32348596750369274,2.348355480970546,0.03143581249999999,1.2745485807860262
NO_TOOL,FAILURE_NO_FAILURE,No Failure,0.05475,0.32348596750369274,2.348355480970546,0.03143581249999999,1.2745485807860262
DEPTH_LOW & NO_TOOL & NO_TOOL_CYCLE,FAILURE_NO_FAILURE,No Failure,0.0535,0.3203592814371257,2.325657215514524,0.030495749999999995,1.2686850220264314
DEPTH_LOW & NO_TOOL & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.0535,0.3203592814371257,2.325657215514524,0.030495749999999995,1.2686850220264314
DEPTH_LOW & NO_TOOL_CYCLE & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.0535,0.3203592814371257,2.325657215514524,0.030495749999999995,1.2686850220264314
DEPTH_LOW & NO_TOOL,FAILURE_NO_FAILURE,No Failure,0.0535,0.3203592814371257,2.325657215514524,0.030495749999999995,1.2686850220264314
DEPTH_LOW & NO_TOOL_CYCLE,FAILURE_NO_FAILURE,No Failure,0.0535,0.3203592814371257,2.325657215514524,0.030495749999999995,1.2686850220264314
NO_USER_REENTRY & PATTERN_A_T_A & TOOL_LOW,FAILURE_NO_FAILURE,No Failure,0.05425,0.2916666666666667,2.117362371445856,0.028628499999999998,1.2172941176470589
NO_USER_REENTRY & TOOL_LOW,FAILURE_NO_FAILURE,No Failure,0.05425,0.2916666666666667,2.117362371445856,0.028628499999999998,1.2172941176470589
ONE_TOOL_CYCLE & PATTERN_A_T_A & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.034,0.2815734989648033,2.0440907365865937,0.017366687500000002,1.2001923631123919
ONE_TOOL_CYCLE & SEQ_SHORT & TOOL_LOW,FAILURE_NO_FAILURE,No Failure,0.034,0.2815734989648033,2.0440907365865937,0.017366687500000002,1.2001923631123919
PATTERN_A_T_A & SEQ_SHORT & TOOL_LOW,FAILURE_NO_FAILURE,No Failure,0.034,0.2815734989648033,2.0440907365865937,0.017366687500000002,1.2001923631123919
ONE_TOOL_CYCLE & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.034,0.2815734989648033,2.0440907365865937,0.017366687500000002,1.2001923631123919
PATTERN_A_T_A & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.034,0.2815734989648033,2.0440907365865937,0.017366687500000002,1.2001923631123919
NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.11475,0.2745215311004785,1.9928967774989363,0.0571705,1.1885259686727123
SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.0905,0.26500732064421667,1.9238280990505745,0.04345837499999999,1.17314093625498
NO_TOOL_CYCLE & SEQ_SHORT,FAILURE_NO_FAILURE,No Failure,0.0565,0.2559456398640997,1.85804457251615,0.0260916875,1.158853500761035
NO_TOOL_CYCLE,FAILURE_NO_FAILURE,No Failure,0.0565,0.2559456398640997,1.85804457251615,0.0260916875,1.158853500761035
DEPTH_MEDIUM & ONE_TOOL_CYCLE & SEQ_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.03075,0.41836734693877553,1.8052528454747594,0.013716375,1.3208508771929826
ONE_TOOL_CYCLE & PATTERN_A_T_A & SEQ_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.032,0.40764331210191085,1.7589786929963789,0.013807625,1.2969381720430109
ONE_TOOL_CYCLE & SEQ_MEDIUM & TOOL_LOW,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.032,0.40764331210191085,1.7589786929963789,0.013807625,1.2969381720430109
ONE_TOOL_CYCLE & SEQ_MEDIUM & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.032,0.40764331210191085,1.7589786929963789,0.013807625,1.2969381720430109
ONE_TOOL_CYCLE & SEQ_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.032,0.40764331210191085,1.7589786929963789,0.013807625,1.2969381720430109
DEPTH_MEDIUM & SEQ_MEDIUM & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.03375,0.3924418604651163,1.693384511176338,0.013819500000000002,1.264488038277512
SEQ_MEDIUM & TOOL_LOW & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.0355,0.3890410958904109,1.678710230379335,0.014352812499999996,1.2574495515695066
NO_USER_REENTRY & PATTERN_A_T_A,FAILURE_NO_FAILURE,No Failure,0.07625,0.2307110438729198,1.674853313052049,0.03072362499999999,1.1208402163225173
DEPTH_MEDIUM & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.0385,0.2288261515601783,1.6611698842844158,0.015323562499999995,1.1181006743737956
DEPTH_MEDIUM & NO_USER_REENTRY & PATTERN_A_T_A,FAILURE_NO_FAILURE,No Failure,0.03775,0.22571001494768309,1.6385482028869913,0.014711312499999997,1.1136008687258685
DEPTH_LOW & NO_TOOL & USER_REENTRY,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.0305,0.37423312883435583,1.5874151806335348,0.011286375000000001,1.2213014705882355
DEPTH_LOW & NO_TOOL_CYCLE & USER_REENTRY,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.0305,0.37423312883435583,1.5874151806335348,0.011286375000000001,1.2213014705882355
DEPTH_LOW & SEQ_SHORT & USER_REENTRY,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.0305,0.3730886850152905,1.5825606999588147,0.0112274375,1.2190719512195123
NO_TOOL & NO_TOOL_CYCLE & USER_REENTRY,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.0305,0.3730886850152905,1.5825606999588147,0.0112274375,1.2190719512195123
NO_TOOL & SEQ_SHORT & USER_REENTRY,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.0305,0.3730886850152905,1.5825606999588147,0.0112274375,1.2190719512195123
NO_TOOL & USER_REENTRY,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.0305,0.3730886850152905,1.5825606999588147,0.0112274375,1.2190719512195123
DEPTH_LOW & USER_REENTRY,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.0305,0.3719512195121951,1.5777358197760134,0.011168499999999998,1.216864077669903
MULTI_TOOL_CYCLE & NO_USER_REENTRY & SEQ_MEDIUM,FAILURE_NO_FAILURE,No Failure,0.03575,0.21633888048411495,1.5705181886324133,0.012986812499999993,1.1002842664092665
NO_USER_REENTRY & PATTERN_A_T_A & SEQ_MEDIUM,FAILURE_NO_FAILURE,No Failure,0.03575,0.21633888048411495,1.5705181886324133,0.012986812499999993,1.1002842664092665
NO_USER_REENTRY & PATTERN_A_T_A_T_A & SEQ_MEDIUM,FAILURE_NO_FAILURE,No Failure,0.03575,0.21633888048411495,1.5705181886324133,0.012986812499999993,1.1002842664092665
NO_USER_REENTRY & SEQ_MEDIUM,FAILURE_NO_FAILURE,No Failure,0.03575,0.21633888048411495,1.5705181886324133,0.012986812499999993,1.1002842664092665
DEPTH_MEDIUM & MULTI_TOOL_CYCLE & NO_USER_REENTRY,FAILURE_NO_FAILURE,No Failure,0.03375,0.213946117274168,1.5531478567997676,0.012019937500000001,1.0969349798387096
DEPTH_MEDIUM & NO_USER_REENTRY & PATTERN_A_T_A_T_A,FAILURE_NO_FAILURE,No Failure,0.03375,0.213946117274168,1.5531478567997676,0.012019937500000001,1.0969349798387096
DEPTH_MEDIUM & ONE_TOOL_CYCLE & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.03625,0.35980148883374685,1.552541483640763,0.012901187499999994,1.200018410852713
DEPTH_MEDIUM & NO_USER_REENTRY & SEQ_MEDIUM,FAILURE_NO_FAILURE,No Failure,0.0335,0.21303656597774245,1.5465449435770775,0.0118388125,1.0956671717171718
ONE_TOOL_CYCLE & PATTERN_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.03775,0.3552941176470588,1.5330922012818071,0.013126562499999998,1.1916286496350363
ONE_TOOL_CYCLE & TOOL_LOW & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.03775,0.3552941176470588,1.5330922012818071,0.013126562499999998,1.1916286496350363
ONE_TOOL_CYCLE & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.03775,0.3552941176470588,1.5330922012818071,0.013126562499999998,1.1916286496350363
SEQ_SHORT & TOOL_LOW,FAILURE_NO_FAILURE,No Failure,0.03575,0.20754716981132076,1.506694517686539,0.012022562499999997,1.088077380952381
DEPTH_MEDIUM & PATTERN_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.0395,0.34725274725274724,1.4983937314034401,0.013138437499999999,1.176948653198653
PATTERN_A_T_A & TOOL_LOW & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.04125,0.3466386554621849,1.495743928639417,0.013671750000000003,1.1758424437299038
PATTERN_A_T_A & SEQ_MEDIUM & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.075,0.3386004514672686,1.4610591217573616,0.023667374999999997,1.16155204778157
SEQ_MEDIUM & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.075,0.3386004514672686,1.4610591217573616,0.023667374999999997,1.16155204778157
SEQ_LONG & TOOL_MEDIUM & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.0445,0.33776091081593923,1.4574365083751422,0.013966937499999995,1.1600795128939827
DEPTH_MEDIUM & ONE_TOOL_CYCLE & PATTERN_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.037,0.3356009070294784,1.4481161036870698,0.011449562499999996,1.1563080204778156
DEPTH_MEDIUM & ONE_TOOL_CYCLE & TOOL_LOW,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.037,0.3356009070294784,1.4481161036870698,0.011449562499999996,1.1563080204778156
DEPTH_MEDIUM & ONE_TOOL_CYCLE,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.037,0.3356009070294784,1.4481161036870698,0.011449562499999996,1.1563080204778156
MULTI_TOOL_CYCLE & SEQ_LONG & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.066,0.3308270676691729,1.4275170125962153,0.019765874999999995,1.1480589887640449
PATTERN_A_T_A & SEQ_LONG & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.066,0.3308270676691729,1.4275170125962153,0.019765874999999995,1.1480589887640449
PATTERN_A_T_A_T_A & SEQ_LONG & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.066,0.3308270676691729,1.4275170125962153,0.019765874999999995,1.1480589887640449
SEQ_LONG & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.066,0.3308270676691729,1.4275170125962153,0.019765874999999995,1.1480589887640449
DEPTH_HIGH & SEQ_LONG & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.06575,0.33040201005025127,1.42568289126322,0.019631749999999996,1.147330206378987
MULTI_TOOL_CYCLE & SEQ_LONG & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.05725,0.3294964028776979,1.4217752011982647,0.016983437500000004,1.1457805793991416
PATTERN_A_T_A & SEQ_LONG & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.05725,0.3294964028776979,1.4217752011982647,0.016983437500000004,1.1457805793991416
PATTERN_A_T_A_T_A & SEQ_LONG & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.05725,0.3294964028776979,1.4217752011982647,0.016983437500000004,1.1457805793991416
SEQ_LONG & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.05725,0.3294964028776979,1.4217752011982647,0.016983437500000004,1.1457805793991416
DEPTH_HIGH & SEQ_LONG & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.057,0.329004329004329,1.4196519050887983,0.016849312500000005,1.1449403225806452
PATTERN_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.14675,0.32701949860724233,1.411087372631035,0.0427521875,1.1415635347682118
SEQ_SHORT & USER_REENTRY,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.05325,0.3307453416149068,1.4029494872318424,0.015294250000000002,1.1419419953596288
NO_TOOL_CYCLE & SEQ_SHORT & USER_REENTRY,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.044,0.3302063789868668,1.4006633255010257,0.012586312499999995,1.1410231092436975
NO_TOOL_CYCLE & USER_REENTRY,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.044,0.3302063789868668,1.4006633255010257,0.012586312499999995,1.1410231092436975
PATTERN_A_T_A_T_A & TOOL_MEDIUM & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.0675,0.32412965186074433,1.3986176995069872,0.019238062500000007,1.1366825044404976
DEPTH_HIGH & PATTERN_A_T_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.08925,0.3236627379873073,1.3966029686615202,0.025344937499999998,1.1358977882037533
MULTI_TOOL_CYCLE & PATTERN_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.08775,0.32290708371665133,1.3933423245594447,0.024771937499999994,1.1346300951086956
MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.08775,0.32290708371665133,1.3933423245594447,0.024771937499999994,1.1346300951086956
PATTERN_A_T_A & PATTERN_A_T_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.08775,0.32290708371665133,1.3933423245594447,0.024771937499999994,1.1346300951086956
MULTI_TOOL_CYCLE & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.08775,0.32290708371665133,1.3933423245594447,0.024771937499999994,1.1346300951086956
PATTERN_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.08775,0.32290708371665133,1.3933423245594447,0.024771937499999994,1.1346300951086956
PATTERN_A_T_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.08775,0.32290708371665133,1.3933423245594447,0.024771937499999994,1.1346300951086956
SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.08775,0.32290708371665133,1.3933423245594447,0.024771937499999994,1.1346300951086956
DEPTH_HIGH & MULTI_TOOL_CYCLE & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.08725,0.322253000923361,1.3905199608343517,0.024503687499999996,1.1335350817438692
DEPTH_HIGH & PATTERN_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.08725,0.322253000923361,1.3905199608343517,0.024503687499999996,1.1335350817438692
DEPTH_HIGH & PATTERN_A_T_A_T_A & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.08725,0.322253000923361,1.3905199608343517,0.024503687499999996,1.1335350817438692
DEPTH_HIGH & SEQ_LONG,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.08725,0.322253000923361,1.3905199608343517,0.024503687499999996,1.1335350817438692
MULTI_TOOL_CYCLE & TOOL_MEDIUM & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.084,0.3206106870229008,1.3834333852120853,0.023281499999999997,1.130794943820225
PATTERN_A_T_A & TOOL_MEDIUM & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.084,0.3206106870229008,1.3834333852120853,0.023281499999999997,1.130794943820225
TOOL_MEDIUM & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.084,0.3206106870229008,1.3834333852120853,0.023281499999999997,1.130794943820225
DEPTH_HIGH & MULTI_TOOL_CYCLE & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.1055,0.3204252088078967,1.3826330477147646,0.029196312500000002,1.130486312849162
MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.0925,0.3203463203463203,1.3822926444285666,0.025582187499999992,1.1303550955414012
PATTERN_A_T_A & PATTERN_A_T_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.0925,0.3203463203463203,1.3822926444285666,0.025582187499999992,1.1303550955414012
PATTERN_A_T_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.0925,0.3203463203463203,1.3822926444285666,0.025582187499999992,1.1303550955414012
DEPTH_MEDIUM & TOOL_LOW & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.0525,0.32012195121951215,1.3813244928565789,0.014492999999999992,1.129982062780269
DEPTH_MEDIUM & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.05275,0.31969696969696965,1.379490699879049,0.014511249999999996,1.1292761692650333
TOOL_LOW & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.0545,0.3196480938416422,1.3792798008269351,0.014986624999999996,1.129195043103448
DEPTH_HIGH & TOOL_MEDIUM & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.0835,0.3196172248803828,1.3791466014256,0.022955312500000005,1.129143811533052
DEPTH_HIGH & PATTERN_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.10675,0.3191330343796711,1.3770573220266282,0.029229624999999995,1.128340834248079
DEPTH_HIGH & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.10675,0.31865671641791044,1.3750020125907678,0.029113749999999994,1.1275520262869658
MULTI_TOOL_CYCLE & PATTERN_A_T_A & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.109,0.3182481751824817,1.3732391593634594,0.02962562499999999,1.1268763383297644
MULTI_TOOL_CYCLE & USER_REENTRY,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.109,0.3182481751824817,1.3732391593634594,0.02962562499999999,1.1268763383297644
NO_TOOL_CYCLE & SEQ_SHORT & USER_REENTRY,FAILURE_WRONG_TOOL_SELECTION,Wrong Tool Selection,0.03775,0.28330206378986866,1.3587628958746698,0.009967374999999997,1.1043704188481676
NO_TOOL_CYCLE & USER_REENTRY,FAILURE_WRONG_TOOL_SELECTION,Wrong Tool Selection,0.03775,0.28330206378986866,1.3587628958746698,0.009967374999999997,1.1043704188481676
DEPTH_HIGH & PATTERN_A_T_A_T_A & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.081,0.3145631067961165,1.3573381091526062,0.021324375,1.1208179886685552
DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.11175,0.3143459915611815,1.3564012580849254,0.029362874999999997,1.120463076923077
DEPTH_HIGH & PATTERN_A_T_A & PATTERN_A_T_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.11175,0.3143459915611815,1.3564012580849254,0.029362874999999997,1.120463076923077
DEPTH_HIGH & PATTERN_A_T_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.11175,0.3143459915611815,1.3564012580849254,0.029362874999999997,1.120463076923077
DEPTH_LOW & NO_TOOL & NO_TOOL_CYCLE,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.05325,0.3188622754491018,1.3525441164330936,0.013879749999999996,1.12201978021978
DEPTH_LOW & NO_TOOL & SEQ_SHORT,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.05325,0.3188622754491018,1.3525441164330936,0.013879749999999996,1.12201978021978
DEPTH_LOW & NO_TOOL_CYCLE & SEQ_SHORT,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.05325,0.3188622754491018,1.3525441164330936,0.013879749999999996,1.12201978021978
DEPTH_LOW & NO_TOOL,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.05325,0.3188622754491018,1.3525441164330936,0.013879749999999996,1.12201978021978
DEPTH_LOW & NO_TOOL_CYCLE,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.05325,0.3188622754491018,1.3525441164330936,0.013879749999999996,1.12201978021978
DEPTH_HIGH & MULTI_TOOL_CYCLE & PATTERN_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.128,0.31295843520782396,1.3504139599043103,0.03321425,1.118200177935943
DEPTH_HIGH & MULTI_TOOL_CYCLE,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.128,0.31295843520782396,1.3504139599043103,0.03321425,1.118200177935943
DEPTH_HIGH & MULTI_TOOL_CYCLE & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.09725,0.31270096463022506,1.3493029757507013,0.025175749999999997,1.1177812865497074
DEPTH_HIGH & PATTERN_A_T_A & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.09725,0.31270096463022506,1.3493029757507013,0.025175749999999997,1.1177812865497074
DEPTH_HIGH & TOOL_MEDIUM,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.09725,0.31270096463022506,1.3493029757507013,0.025175749999999997,1.1177812865497074
NO_TOOL & NO_TOOL_CYCLE & SEQ_SHORT,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.05375,0.31757754800590837,1.347094583270025,0.013849312499999995,1.1199074675324676
NO_TOOL & NO_TOOL_CYCLE,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.05375,0.31757754800590837,1.347094583270025,0.013849312499999995,1.1199074675324676
NO_TOOL & SEQ_SHORT,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.05375,0.31757754800590837,1.347094583270025,0.013849312499999995,1.1199074675324676
NO_TOOL,FAILURE_INTENT_MISUNDERSTANDING,Intent Misunderstanding,0.05375,0.31757754800590837,1.347094583270025,0.013849312499999995,1.1199074675324676
DEPTH_HIGH & PATTERN_A_T_A,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.12925,0.3116335141651597,1.3446969327514982,0.03313168749999999,1.116047942206655
MULTI_TOOL_CYCLE & PATTERN_A_T_A & TOOL_HIGH,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.0305,0.3112244897959183,1.342931994804394,0.007788499999999997,1.115385185185185
MULTI_TOOL_CYCLE & PATTERN_A_T_A_T_A & TOOL_HIGH,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.0305,0.3112244897959183,1.342931994804394,0.007788499999999997,1.115385185185185
MULTI_TOOL_CYCLE & SEQ_LONG & TOOL_HIGH,FAILURE_EXECUTION_CASCADING_ERROR,Execution/Cascading Error,0.0305,0.3112244897959183,1.342931994804394,0.007788499999999997,1.115385185185185
