external_annotation_id,toolhop_id
TH_0260,TOOLHOP_e408d89ae85c
TH_0261,TOOLHOP_e4dd8a3f00e9
TH_0262,TOOLHOP_e5cb675577c0
TH_0263,TOOLHOP_e6c3dd630428
TH_0264,TOOLHOP_e6c790b5c2e4
TH_0265,TOOLHOP_eaa67f3a93d0
TH_0266,TOOLHOP_eadc1dd8fc27
TH_0267,TOOLHOP_eb4ac3033e8a
TH_0268,TOOLHOP_eb65e208b715
TH_0269,TOOLHOP_ec2b67d54675
TH_0270,TOOLHOP_ed2efc1c0534
TH_0271,TOOLHOP_ed665fd66158
TH_0272,TOOLHOP_edd6ebda641b
TH_0273,TOOLHOP_ee44c6bcc4e0
TH_0274,TOOLHOP_ef2afd226e33
TH_0275,TOOLHOP_efbc0848b836
TH_0276,TOOLHOP_f032e5893073
TH_0277,TOOLHOP_f04b1d726c61
TH_0278,TOOLHOP_f1c6feb7a362
TH_0279,TOOLHOP_f1e75747bc4c
TH_0280,TOOLHOP_f333160e6b20
TH_0281,TOOLHOP_f3751173cf41
TH_0282,TOOLHOP_f4904ffc3864
TH_0283,TOOLHOP_f5354c576bb8
TH_0284,TOOLHOP_f53eac2e4221
TH_0285,TOOLHOP_f6e1126cedeb
TH_0286,TOOLHOP_f76b2ea6b45e
TH_0287,TOOLHOP_f8c024c4ad95
TH_0288,TOOLHOP_f8d0f85975e4
TH_0289,TOOLHOP_f8e20fddd3e4
TH_0290,TOOLHOP_f90a34bcd66e
TH_0291,TOOLHOP_fa755791d050
TH_0292,TOOLHOP_fa988283d77c
TH_0293,TOOLHOP_fad3ea4094a1
TH_0294,TOOLHOP_fbea31c7083e
TH_0295,TOOLHOP_fc7a734dba51
TH_0296,TOOLHOP_fcd72fa5e790
TH_0297,TOOLHOP_fe39d97644dc
TH_0298,TOOLHOP_ff5ae4a7485c
TH_0299,TOOLHOP_ff6d1d2c3324
TH_0300,TOOLHOP_fffb8e85796e
